USFWS,JayID,Age,Agen,ID,date_bled,date_oxy,OXYAd,date_drom,dROM_1,dROM_2,dROM_avg
1603-57168,-QWW,Nestling,1,1603-57168Nestling,4/23/2018,9/27/2019,241.3029316,11/7/2019,15.56929922,6.321690768,10.94549499
1603-57172,-QWB,Nestling,1,1603-57172Nestling,4/24/2018,9/27/2019,239.7394137,11/7/2019,3.694771969,18.91701891,11.30589544
1603-57175,-QRL,Nestling,1,1603-57175Nestling,4/24/2018,9/27/2019,218.8925081,11/7/2019,4.335483871,9.519911012,6.927697442
1603-57176,-QRH,Nestling,1,1603-57176Nestling,4/24/2018,9/27/2019,221.4983713,11/7/2019,38.06362625,35.86384872,36.96373749
1603-57173,-QRP,Nestling,1,1603-57173Nestling,4/24/2018,9/27/2019,246.514658,11/7/2019,15.26496107,7.047830923,11.156396
1603-57181,-QRB,Nestling,1,1603-57181Nestling,4/26/2018,9/27/2019,206.3843648,11/7/2019,7.186651835,4.826696329,6.006674082
1603-57182,-QWP,Nestling,1,1603-57182Nestling,4/27/2018,9/27/2019,249.6416938,11/7/2019,4.468965517,2.375973304,3.42246941
1603-57186,-QWA,Nestling,1,1603-57186Nestling,4/27/2018,9/27/2019,247.0358306,11/7/2019,4.901446051,7.175973304,6.038709677
1603-57195,-QGH,Nestling,1,1603-57195Nestling,5/1/2018,9/27/2019,247.0358306,11/10/2019,9.147665124,6.845603702,7.996634413
1603-57187,-QRW,Nestling,1,1603-57187Nestling,5/3/2018,9/27/2019,248.0781759,11/7/2019,4.698553949,7.507007786,6.102780868
1603-57188,-QRR,Nestling,1,1603-57188Nestling,5/3/2018,9/27/2019,279.3485342,11/7/2019,7.891434928,3.609343715,5.750389321
1603-57189,-QRG,Nestling,1,1603-57189Nestling,5/4/2018,9/27/2019,238.6970684,11/7/2019,5.371301446,5.979977753,5.6756396
1603-57190,-QRY,Nestling,1,1603-57190Nestling,5/4/2018,9/27/2019,231.9218241,11/7/2019,7.117241379,6.67942158,6.898331479
1603-57194,-QGL,Nestling,1,1603-57194Nestling,5/7/2018,9/27/2019,241.3029316,11/10/2019,11.5641565,6.461926798,9.013041649
1603-57196,-QGA,Nestling,1,1603-57196Nestling,5/7/2018,9/27/2019,250.6840391,11/10/2019,11.1535549,5.115692049,8.134623475
1603-57191,-QGB,Nestling,1,1603-57191Nestling,5/7/2018,9/27/2019,262.6710098,11/7/2019,5.814460512,9.450500556,7.632480534
1603-57192,-QGP,Nestling,1,1603-57192Nestling,5/7/2018,9/27/2019,265.7980456,11/7/2019,13.62580645,18.41512792,16.02046719
1603-57197,-QYW,Nestling,1,1603-57197Nestling,5/8/2018,9/27/2019,244.9511401,11/10/2019,18.72612537,11.47665124,15.1013883
1603-57198,-QRO,Nestling,1,1603-57198Nestling,5/8/2018,9/27/2019,208.4690554,11/10/2019,4.785864535,4.70509045,4.745477493
1603-72803,-QGO,Nestling,1,1603-72803Nestling,5/10/2018,9/27/2019,202.2149837,11/10/2019,4.180058898,2.928060581,3.554059739
1603-72805,-QYH,Nestling,1,1603-72805Nestling,5/11/2018,9/27/2019,230.3583062,11/10/2019,4.907025663,4.772402188,4.839713925
1603-72813,-QBO,Nestling,1,1603-72813Nestling,5/12/2018,9/27/2019,244.4299674,11/10/2019,4.48969289,8.326461927,6.408077408
1603-72815,-QBH,Nestling,1,1603-72815Nestling,5/13/2018,9/27/2019,224.6254072,11/10/2019,12.31804796,6.172486327,9.245267143
1603-72817,-QPW,Nestling,1,1603-72817Nestling,5/15/2018,9/27/2019,191.7915309,11/10/2019,6.717711401,4.038704249,5.378207825
1603-72818,-QPR,Nestling,1,1603-72818Nestling,5/15/2018,9/27/2019,222.5407166,11/10/2019,2.954985276,2.10012621,2.527555743
1603-72828,-QBR,Nestling,1,1603-72828Nestling,5/31/2018,9/27/2019,230.8794788,11/10/2019,4.631047539,5.001262095,4.816154817
1603-57186,-QWA,Juvenile,2,1603-57186Juvenile,7/2/2018,9/27/2019,275.1791531,11/11/2019,10.23782796,12.04855763,11.14319279
1603-57168,-QWW,Juvenile,2,1603-57168Juvenile,7/2/2018,9/27/2019,266.3192182,11/10/2019,1.676062263,7.07446361,4.375262936
1603-57182,-QWP,Juvenile,2,1603-57182Juvenile,7/2/2018,9/27/2019,269.4462541,11/10/2019,3.533866218,2.490534287,3.012200252
1603-57172,-QWB,Juvenile,2,1603-57172Juvenile,7/5/2018,9/27/2019,267.8827362,11/11/2019,22.88787365,15.84545099,19.36666232
1603-57176,-QRH,Juvenile,2,1603-57176Juvenile,7/5/2018,9/27/2019,230.8794788,11/11/2019,7.36196319,10.83305052,9.097506853
1603-57173,-QRP,Juvenile,2,1603-57173Juvenile,7/5/2018,9/27/2019,276.742671,11/11/2019,6.892050646,3.652786842,5.272418744
1603-57175,-QRL,Juvenile,2,1603-57175Juvenile,7/5/2018,9/27/2019,280.3908795,11/11/2019,6.065004569,3.608928338,4.836966453
1603-57189,-QRG,Juvenile,2,1603-57189Juvenile,7/6/2018,9/27/2019,250.6840391,11/11/2019,1.898446678,2.587651743,2.24304921
1603-57181,-QRB,Juvenile,2,1603-57181Juvenile,7/6/2018,9/27/2019,245.9934853,11/11/2019,21.00195797,17.18000261,19.09098029
1603-57190,-QRY,Juvenile,2,1603-57190Juvenile,7/9/2018,9/27/2019,277.2638436,11/11/2019,4.686594439,3.045033285,3.865813862
1603-57187,-QRW,Juvenile,2,1603-57187Juvenile,7/9/2018,11/11/2019,223.5114504,11/11/2019,5.826915546,4.504894922,5.165905234
1603-57188,-QRR,Juvenile,2,1603-57188Juvenile,7/9/2018,11/11/2019,253.4351145,11/11/2019,9.648870905,2.437279728,6.043075317
1603-57194,-QGL,Juvenile,2,1603-57194Juvenile,7/12/2018,11/11/2019,259.5419847,11/11/2019,1.459861637,1.992429187,1.726145412
1603-57192,-QGP,Juvenile,2,1603-57192Juvenile,7/12/2018,11/11/2019,263.2061069,11/11/2019,2.080146195,1.190445112,1.635295653
1603-57191,-QGB,Juvenile,2,1603-57191Juvenile,7/12/2018,11/11/2019,252.8244275,11/11/2019,9.041117348,4.555018927,6.798068137
1603-72803,-QGO,Juvenile,2,1603-72803Juvenile,7/12/2018,11/11/2019,209.4656489,11/11/2019,3.671583344,3.076360788,3.373972066
1603-57198,-QRO,Juvenile,2,1603-57198Juvenile,7/16/2018,11/11/2019,296.7938931,11/11/2019,0.293726668,0.246108863,0.269917765
1603-57197,-QYW,Juvenile,2,1603-57197Juvenile,7/16/2018,11/11/2019,281.5267176,11/11/2019,6.363061968,8.031105711,7.19708384
1603-57195,-QGH,Juvenile,2,1603-57195Juvenile,7/16/2018,11/11/2019,257.7099237,11/11/2019,4.315917375,7.243742406,5.779829891
1603-72810,-QGY,Juvenile,2,1603-72810Juvenile,7/17/2018,11/11/2019,248.5496183,11/11/2019,12.88942892,40.48797084,26.68869988
1603-72809,-QGG,Juvenile,2,1603-72809Juvenile,7/17/2018,11/11/2019,254.6564885,11/11/2019,4.164277035,12.23037667,8.197326853
1603-57196,-QGA,Juvenile,2,1603-57196Juvenile,7/17/2018,11/11/2019,271.7557252,11/11/2019,8.427703524,3.44690158,5.937302552
1603-72813,-QBO,Juvenile,2,1603-72813Juvenile,7/17/2018,11/11/2019,276.0305344,11/11/2019,6.940461725,4.630862697,5.785662211
1603-72814,-QBL,Juvenile,2,1603-72814Juvenile,7/24/2018,11/11/2019,304.7328244,11/11/2019,6.059781288,3.231105711,4.645443499
1603-72805,-QYH,Juvenile,2,1603-72805Juvenile,8/9/2018,11/11/2019,283.9694656,11/11/2019,6.561360875,14.69161604,10.62648846
1603-72818,-QPR,Juvenile,2,1603-72818Juvenile,8/16/2018,11/11/2019,276.0305344,11/11/2019,3.254434994,5.494046173,4.374240583
1603-72828,-QBR,Juvenile,2,1603-72828Juvenile,1/22/2019,11/11/2019,264.4274809,11/11/2019,3.808505468,1.843013366,2.825759417
1603-72817,-QPW,Juvenile,2,1603-72817Juvenile,1/22/2019,11/11/2019,273.5877863,11/11/2019,5.184933171,5.161603888,5.17326853
1603-72815,-QBH,Juvenile,2,1603-72815Juvenile,2/7/2019,11/11/2019,304.1221374,11/11/2019,1.697205346,2.064641555,1.880923451
1603-57197,-QYW,Independent,3,1603-57197Independent,4/1/2019,11/16/2019,278.3643123,11/11/2019,9.567179487,6.52034188,8.043760684
1603-57168,-QWW,Independent,3,1603-57168Independent,4/3/2019,11/11/2019,319.389313,11/11/2019,8.17691373,1.183961118,4.680437424
1603-72828,-QBR,Independent,3,1603-72828Independent,4/3/2019,11/14/2019,242.2800496,11/11/2019,5.098119658,4.168205128,4.633162393
1603-57198,-QRO,Independent,3,1603-57198Independent,4/3/2019,11/18/2019,241.8835192,11/11/2019,14.29880342,13.10632479,13.7025641
1603-72813,-QBO,Independent,3,1603-72813Independent,4/5/2019,11/20/2019,262.5030979,11/11/2019,9.293675214,9.348376068,9.321025641
1603-57191,-QGB,Independent,3,1603-57191Independent,4/5/2019,11/22/2019,315.2416357,11/11/2019,7.220512821,3.954871795,5.587692308
1603-57188,-QRR,Independent,3,1603-57188Independent,4/8/2019,11/12/2019,282.3296159,11/11/2019,1.772307692,2.516239316,2.144273504
1603-57182,-QWP,Independent,3,1603-57182Independent,4/8/2019,11/24/2019,312.8624535,11/11/2019,5.278632479,2.652991453,3.965811966
1603-57186,-QWA,Independent,3,1603-57186Independent,4/9/2019,11/13/2019,290.260223,11/11/2019,5.563076923,6.328888889,5.945982906
1603-57192,-QGP,Independent,3,1603-57192Independent,4/11/2019,11/15/2019,310.8798017,11/11/2019,6.777435897,8.522393162,7.64991453
1603-57194,-QGL,Independent,3,1603-57194Independent,4/11/2019,11/17/2019,307.7075589,11/11/2019,7.461196581,3.533675214,5.497435897
1603-57181,-QRB,Independent,3,1603-57181Independent,4/12/2019,11/19/2019,267.2614622,11/11/2019,3.533675214,15.83042735,9.682051282
1603-72805,-QYH,Independent,3,1603-72805Independent,4/12/2019,11/21/2019,254.5724907,11/11/2019,3.380512821,12.36239316,7.871452991
1603-72817,-QPW,Independent,3,1603-72817Independent,4/26/2019,11/23/2019,283.5192069,11/11/2019,2.352136752,3.440683761,2.896410256
1603-57187,-QRW,Independent,3,1603-57187Independent,4/29/2019,11/25/2019,270.0371747,11/11/2019,3.883760684,3.905641026,3.894700855
1603-72803,-QGO,Independent,3,1603-72803Independent,4/30/2019,11/15/2019,270.7389163,11/14/2019,4.726722597,5.611332692,5.169027644
