Date,Time,Terr,TerrYr,JayID,JayYr,AvgWeight,WT1,WT2,WT3,WT4,WT5,WT6,WT7,WT8,Notes
2/6/2019,7:49:00 AM,CHOP,CHOP19,-QBR,2018,72.8,,,,,,,,,
2/6/2019,8:04:00 AM,FRED,FRED19,QWW-,2017,78.8,,,,,,,,,
2/6/2019,8:04:00 AM,FRED,FRED19,QWR-,2017,83.6,,,,,,,,,
2/6/2019,8:33:00 AM,CRSM,CRSM19,-RCA,2006,81.4,,,,,,,,,
2/6/2019,8:33:00 AM,CRSM,CRSM19,-QGA,2018,76,,,,,,,,,
2/6/2019,8:33:00 AM,CRSM,CRSM19,-QGH,2018,79.6,,,,,,,,,
2/6/2019,8:33:00 AM,CRSM,CRSM19,RQR-,2015,83.1,,,,,,,,,
2/6/2019,8:33:00 AM,JANN,JANN19,-QRH,2018,79.1,,,,,,,,,
2/6/2019,9:01:00 AM,BNCH,BNCH19,-QGB,2018,84.5,84.2,84.8,,,,,,,
2/6/2019,9:01:00 AM,BNCH,BNCH19,-QGP,2018,75.55,75.8,75.3,,,,,,,
2/6/2019,9:01:00 AM,BNCH,BNCH19,W-NR,2006,82.8,,,,,,,,,
2/6/2019,9:01:00 AM,BNCH,BNCH19,-QGL,2018,75.6,,,,,,,,,
2/6/2019,9:40:00 AM,NBNB,NBNB19,-PQP,2016,74.8,,,,,,,,,
2/6/2019,9:40:00 AM,NBNB,NBNB19,-LQA,2016,83.5,,,,,,,,,
2/6/2019,9:40:00 AM,NBNB,NBNB19,QPL-,2017,81,,,,,,,,,
2/6/2019,9:54:00 AM,ANGB,ANGB19,QWH-,2017,75.6,,,,,,,,,
2/7/2019,7:51:00 AM,CHOP,CHOP19,-QBR,2018,75.13,74.8,75.2,75.4,,,,,,
2/7/2019,8:21:00 AM,FRED,FRED19,QWW-,2017,79.3,78.8,79.3,80,79.1,,,,,
2/7/2019,8:21:00 AM,FRED,FRED19,QWR-,2017,82.7,82.6,82.7,83,82.5,,,,,
2/7/2019,8:21:00 AM,FRED,FRED19,-QRR,2018,82.86666667,81.9,82.5,83.2,83.9,82.9,82.8,,,
2/7/2019,9:01:00 AM,JANN,JANN19,-QRH,2018,78.375,77.8,78.9,78.2,78.6,,,,,
2/7/2019,9:01:00 AM,JANN,JANN19,-QRL,2018,85.1,84.7,85.5,,,,,,,
2/7/2019,10:16:00 AM,VALL,VALL19,QWO-,2017,78.8,78.8,,,,,,,,
2/8/2019,8:00:00 AM,VALL,VALL19,QWO-,2017,74.31666667,74.2,73.8,74.4,73.7,74.8,75,75.1,74.6,
2/8/2019,8:00:00 AM,VALL,VALL19,-QWA,2018,75.5,75.4,75.3,75.8,,,,,,
2/8/2019,9:00:00 AM,PLAZ,PLAZ19,QG-L,2014,81.1,80.9,81,81.4,,,,,,
2/8/2019,9:00:00 AM,PLAZ,PLAZ19,-QRO,2018,76.7,77,76.8,76.1,76.2,77.4,,,,
2/8/2019,9:00:00 AM,PLAZ,PLAZ19,-QYW,2018,73.66666667,74,73.6,73.4,,,,,,
2/8/2019,9:51:00 AM,BUBO,BUBO19,QB-L,2014,78.8,78.8,,,,,,,,
2/8/2019,9:51:00 AM,BUBO,BUBO19,-QPW,2018,75.725,75.4,76,75.6,75.9,,,,,
2/8/2019,9:51:00 AM,BUBO,BUBO19,-QPR,2018,73.2,73.2,,,,,,,,
2/16/2019,8:17:00 AM,CHUR,CHUR19,QOR-,2017,82.175,82.2,82,82.3,82.2,,,,,
2/16/2019,8:17:00 AM,CHUR,CHUR19,GLQ-,2011,76.02,76.5,76.8,75.9,75.6,75.3,,,,
2/16/2019,8:17:00 AM,CHUR,CHUR19,Q-GA,2013,80.75,80.7,80.8,,,,,,,
2/15/2019,7:33:00 AM,FRED,BUBO19,QWW-,2017,76.9,77.2,76.6,,,,,,,
2/15/2019,7:33:00 AM,FRED,BUBO19,QWR-,2017,80.6,80.4,80.8,,,,,,,
2/15/2019,7:33:00 AM,FRED,BUBO19,-QRW,2018,80,79.9,80.1,,,,,,,
2/15/2019,7:33:00 AM,FRED,BUBO19,-QRR,2018,81.85,81.6,82.1,,,,,,,
2/15/2019,7:33:00 AM,BUBO,BUBO19,QB-L,2014,75.9,75.9,,,,,,,,
2/15/2019,7:33:00 AM,BUBO,BUBO19,-QPR,2018,71.55,71.3,71.8,,,,,,,
2/15/2019,7:33:00 AM,BUBO,BUBO19,-QPW,2018,74.96666667,75.5,75.1,74.3,,,,,,
2/15/2019,7:45:00 AM,CHIK,CHIK19,GQ-P,2012,75.84,76.4,75.9,75.8,75.5,75.6,,,,
2/15/2019,7:45:00 AM,CHIK,CHIK19,-QWP,2018,74.9,74.8,75,74.5,75.3,74.8,,,,
2/15/2019,8:54:00 AM,VALL,CLAS19,QWO-,2017,74.2,74,74.4,,,,,,,
2/15/2019,8:54:00 AM,VALL,CLAS19,-QWA,2018,76.35,76.3,76.4,,,,,,,
2/15/2019,8:07:00 AM,CRSM,JANN19,-QGH,2018,78.9,78.9,,,,,,,,
2/15/2019,8:07:00 AM,JANN,JANN19,B-NA,2012,79.8,79.8,,,,,,,,
2/15/2019,8:07:00 AM,JANN,JANN19,-QRH,2018,79.6,79.6,,,,,,,,
2/15/2019,8:07:00 AM,JANN,JANN19,-QRP,2018,78.9,79.5,78.9,78.3,,,,,,
2/15/2019,8:07:00 AM,JANN,JANN19,PaQ-,2011,83.2,83.6,82.8,,,,,,,
2/15/2019,8:07:00 AM,JANN,JANN19,-QRL,2018,82.9,83.4,82.5,82.8,,,,,,
2/17/2019,7:50:00 AM,TP39,TP3919,RHQ-H,2011,74.31428571,74.5,73.6,74.7,74.2,74.6,74.7,73.9,,
2/17/2019,7:50:00 AM,TP39,TP3919,-QRB,2018,75.8,76.8,75.8,75.9,75.8,74.7,76,75.3,76.1,
2/17/2019,8:45:00 AM,SCOP,SCOP19,Q-OH,2013,76.55,76,77.1,,,,,,,
2/17/2019,8:45:00 AM,SCOP,SCOP19,q-OO,2013,74.85,74.8,74.9,,,,,,,
2/17/2019,8:45:00 AM,SCOP,SCOP19,-QBO,2018,77,77,,,,,,,,
